C7057|Disease, Disorder or Finding
C48997|Breast Cancer pN1mi TNM Finding v6
C48972|Breast Cancer pTX TNM Finding v6 and v7
C48986|Breast Cancer pT4a TNM Finding v6 and v7
C73353|Breast Cancer cN3a TNM Finding v6 and v7
C73354|Breast Cancer cN3b TNM Finding v6 and v7
C49004|Breast Cancer pN3 TNM Finding v6
C48987|Breast Cancer pT4b TNM Finding v6 and v7
C48988|Breast Cancer pT4c TNM Finding v6 and v7
C73355|Breast Cancer cN3c TNM Finding v6 and v7
C48972|Breast Cancer pTX TNM Finding v6 and v7
C48979|Breast Cancer pT1mic TNM Finding v6 and v7
C48979|Breast Cancer pT1mic TNM Finding v6 and v7
C48986|Breast Cancer pT4a TNM Finding v6 and v7
C48987|Breast Cancer pT4b TNM Finding v6 and v7
C48988|Breast Cancer pT4c TNM Finding v6 and v7
C48995|Breast Cancer pN0(mol+) TNM Finding v6 and v7
C88353|Breast Cancer pN1mi TNM Finding v7
C88361|Breast Cancer pN3 TNM Finding v7
C48850|Cutaneous Melanoma pT3b TNM Finding v6 and v7
C48849|Cutaneous Melanoma pT3a TNM Finding v6 and v7
C5420|Paraneoplastic Subacute Sensory Neuronopathy
C48851|Cutaneous Melanoma pT4 TNM Finding v6 and v7
C48839|Cutaneous Melanoma pTX TNM Finding v6
C48854|Cutaneous Melanoma pNX TNM Finding v6
C35560|Complex Endometrial Hyperplasia with Atypia
C46101|Neoplastic C-Cell Hyperplasia
C6991|Simple Endometrial Hyperplasia with Atypia
C54184|Columnar Cell Hyperplasia of the Breast with Atypia
C7675|High Grade Cervical Glandular Intraepithelial Neoplasia
C7674|Low Grade Cervical Glandular Intraepithelial Neoplasia
C40197|High Grade Cervical Squamous Intraepithelial Neoplasia
C40196|Low Grade Cervical Squamous Intraepithelial Neoplasia
C4843|Biliary Intraepithelial Neoplasia
C94676|Cervical Intraepithelial Neoplasia Grade 2/3
C40197|High Grade Cervical Squamous Intraepithelial Neoplasia
C7675|High Grade Cervical Glandular Intraepithelial Neoplasia
C96420|Appendix High Grade Intraepithelial Neoplasia
C96419|Appendix Low Grade Intraepithelial Neoplasia
C27789|Endometrial Intraepithelial Neoplasia
C7675|High Grade Cervical Glandular Intraepithelial Neoplasia
C43598|Perianal Squamous Intraepithelial Neoplasia
C7490|Anal Canal Squamous Intraepithelial Neoplasia
C7674|Low Grade Cervical Glandular Intraepithelial Neoplasia
C96945|Bile Duct Biliary Intraepithelial Neoplasia
C43606|Gallbladder Biliary Intraepithelial Neoplasia
C67491|Biliary Intraepithelial Neoplasia-1
C126806|Myelofibrosis Transformation in Essential Thrombocythemia
C7678|Adenocarcinoma In Situ in Adenomatous Polyp
C7678|Adenocarcinoma In Situ in Adenomatous Polyp
C5729|Stage 0 Pancreatic Cancer
C133402|Clinical Stage 0 Esophageal Adenocarcinoma AJCC v8
C4520|Cervical Adenocarcinoma In Situ
C133550|Clinical Stage 0 Gastroesophageal Junction Adenocarcinoma AJCC v8
C8503|Evaluable Disease
C103183|In Utero Drug Withdrawal
C87101|Neonatal Abstinence Syndrome
C101321|Neonatal Drug Withdrawal
C27772|Cigarette Smoking-Related Carcinoma
C27773|Tobacco Chewing-Related Carcinoma
C133550|Clinical Stage 0 Gastroesophageal Junction Adenocarcinoma AJCC v8
C133413|Pathologic Stage 0 Esophageal Adenocarcinoma AJCC v8
C133519|Pathologic Stage 0 Esophageal Squamous Cell Carcinoma AJCC v8
C39625|Extracutaneous Dissemination of Disease
C94536|Best Overall Response
C123571|Absent Morphologic Response
C132455|Bone Response
C3125|Breast Hypertrophy
C3073|Gynecomastia
C79606|Lactation Disorder
C54184|Columnar Cell Hyperplasia of the Breast with Atypia
C27941|Usual Ductal Breast Hyperplasia
C40399|Breast Leiomyoma
C5210|Breast Capillary Hemangioma
C5211|Breast Epithelioid Hemangioma
C62210|Breast Tubular Adenoma
C5169|Breast Neuroendocrine Neoplasm
C7748|Cardiac Myxoma
C3695|Papillary Fibroelastoma
C6745|Superior Vena Cava Leiomyosarcoma
C4791|Left Atrial Myxoma
C6742|Epicardial Lipoma
C4792|Right Atrial Myxoma
C6745|Superior Vena Cava Leiomyosarcoma
C5360|Cardiac Granular Cell Tumor
C6739|Cardiac Rhabdomyoma
C4791|Left Atrial Myxoma
C4568|Malignant Epicardial Neoplasm
C4568|Malignant Epicardial Neoplasm
C5367|Malignant Cardiac Peripheral Nerve Sheath Tumor
C4792|Right Atrial Myxoma
C6742|Epicardial Lipoma
C45759|Cardiac Rhabdomyosarcoma
C45755|Cardiac Undifferentiated Pleomorphic Sarcoma
C45756|Cardiac Synovial Sarcoma
C6739|Cardiac Rhabdomyoma
C7748|Cardiac Myxoma
C3695|Papillary Fibroelastoma
C121941|Bone Epithelioid Hemangioendothelioma
C114923|Adult Epithelioid Hemangioendothelioma
C129536|Central Nervous System Epithelioid Hemangioendothelioma
C9040|Adult Angiosarcoma
C27512|Angiosarcoma Associated with Lymphedema
C9411|Angiosarcoma NCI Grade 2
C27719|Cutaneous Radiation-Related Angiosarcoma
C9112|Classic Kaposi Sarcoma
C40379|Angiosarcoma of the Skin of the Arm after Radical Mastectomy followed by Lymphedema
C3992|AIDS-Related Kaposi Sarcoma
C4568|Malignant Epicardial Neoplasm
C5602|Anal Kaposi Sarcoma
C5360|Cardiac Granular Cell Tumor
C96434|Appendix Kaposi Sarcoma
C84482|Congenital Septal Defect
C98922|Endocardial Fibroelastosis
C98585|Total Anomalous Pulmonary Venous Return
C34582|Endocarditis
C34666|Heart Malformation
C99024|Premature Closure of Ductus Arteriosus
C84625|Cerebral Amyloid Angiopathy
C99938|Chronic Total Occlusion Vessel
C50486|Cerebral Infarction
C101253|Aorta Disease
C3390|Cerebrovascular Accident
C34391|Aortic Arch Syndrome
C26889|Sinus Tachycardia
C26923|Sinus Bradycardia
C50461|Aortic Dissection
C98958|Interrupted Aortic Arch
C35061|Supraventricular Tachycardia
C84742|Transposition of Great Vessels
C99544|Left Ventricular Non-Compaction Syndrome
C103917|Right Aortic Arch
C124495|Aorticopulmonary Septal Defect
C98597|Type III Total Anomalous Pulmonary Venous Return
C101029|Atrioventricular Septal Defect
C98592|Type II Total Anomalous Pulmonary Venous Return
C98598|Type IV Total Anomalous Pulmonary Venous Return
C125701|Ehlers-Danlos Syndrome, Type VII
C125700|Ehlers-Danlos Syndrome, Type VI
C98576|Osteogenesis Imperfecta Type IV
C125699|Ehlers-Danlos Syndrome, Type IV
C6477|Bone Hemangioma
C6477|Bone Hemangioma
C4016|Bone Cancer
C27475|Bone Lipoma
C7063|Notochordal Tumor
C27475|Bone Lipoma
C3830|Chondromyxoid Fibroma
C3830|Chondromyxoid Fibroma
C7063|Notochordal Tumor
C4261|Adult Extracardiac Rhabdomyoma
C4016|Bone Cancer
C4260|Fetal Rhabdomyoma
C4261|Adult Extracardiac Rhabdomyoma
C6517|Genital Rhabdomyoma
C4260|Fetal Rhabdomyoma
C6517|Genital Rhabdomyoma
C4261|Adult Extracardiac Rhabdomyoma
C4260|Fetal Rhabdomyoma
C6517|Genital Rhabdomyoma
C45747|Adult Cardiac Cellular Rhabdomyoma
C49179|Conventional Cardiac Rhabdomyoma
C5608|Anal Leiomyoma
C5514|Appendix Leiomyoma
C4257|Bizarre Leiomyoma
C7810|Adult Leiomyosarcoma
C9428|Conventional Leiomyosarcoma
C4016|Bone Cancer
C8093|Childhood Leiomyosarcoma
C9130|Adult Rhabdomyosarcoma
C5610|Anal Rhabdomyosarcoma
C3749|Alveolar Rhabdomyosarcoma
C9130|Adult Rhabdomyosarcoma
C3749|Alveolar Rhabdomyosarcoma
C5610|Anal Rhabdomyosarcoma
C6477|Bone Hemangioma
C27475|Bone Lipoma
C3830|Chondromyxoid Fibroma
C7063|Notochordal Tumor
C34466|Cartilage Development Disorder
C35476|Aseptic Necrosis of Bone
C6477|Bone Hemangioma
C34841|Avascular Necrosis of Bone
C94497|Bisphosphonate-Associated Osteonecrosis
C119042|Chronic Recurrent Multifocal Osteomyelitis
C27475|Bone Lipoma
C3830|Chondromyxoid Fibroma
C49078|Cutaneous Fibrous Histiocytoma, Cellular Variant
C49079|Cutaneous Fibrous Histiocytoma, Epithelioid Variant
C49076|Cutaneous Fibrous Histiocytoma, Fibroblastic Variant
C6492|Deep Benign Fibrous Histiocytoma
C121929|Non-Ossifying Fibroma
C129549|Intracranial Benign Fibrous Histiocytoma
C3008|Enchondromatosis
C34467|Synovial Chondromatosis
C7059|Mesenchymal Cell Neoplasm
C6714|Sternal Chondromyxoid Fibroma
C7001|Central Nervous System Chondroma
C45629|Lung Chondroma
C6596|Mediastinal Chondroma
C48773|pT4a Stage Finding
C48774|pT4b Stage Finding
C48775|pT4c Stage Finding
C95921|N0 (i-) Stage Finding
C95922|N0 (i+) Stage Finding
C95923|N0 (mol-) Stage Finding
C48712|N2b Stage Finding
C48711|N2a Stage Finding
C48713|N2c Stage Finding
C48707|N1a Stage Finding
C48709|N1c Stage Finding
C48708|N1b Stage Finding
C48738|Tis Stage Finding
C48733|T4a Stage Finding
C48734|T4b Stage Finding
C48735|T4c Stage Finding
C128567|Anatomic Imaging Concept
C50431|Abnormal Mammogram
C113113|Arterial Hypervascularization
C75526|Schirmer Test Wetting
C132226|CDKN2A-p16 Negative
C133332|Donor Retested Negative
C131326|EFGR T790M Mutation Negative
C48990|Breast Cancer pNX TNM Finding v6 and v7
C48974|Breast Cancer pTis TNM Finding v6 and v7
C48989|Breast Cancer pT4d TNM Finding v6 and v7
C49006|Breast Cancer pN3b TNM Finding v6
C49005|Breast Cancer pN3a TNM Finding v6 and v7
C49007|Breast Cancer pN3c TNM Finding v6 and v7
C48989|Breast Cancer pT4d TNM Finding v6 and v7
C48974|Breast Cancer pTis TNM Finding v6 and v7
C48990|Breast Cancer pNX TNM Finding v6 and v7
C49005|Breast Cancer pN3a TNM Finding v6 and v7
C88362|Breast Cancer pN3b TNM Finding v7
C49007|Breast Cancer pN3c TNM Finding v6 and v7
C48841|Cutaneous Melanoma pTis TNM Finding v6 and v7
C3380|Spinal Cord Compression
C48852|Cutaneous Melanoma pT4a TNM Finding v6 and v7
C48853|Cutaneous Melanoma pT4b TNM Finding v6 and v7
C4520|Cervical Adenocarcinoma In Situ
C3186|Leukoplakia
C7347|Cervical Squamous Cell Carcinoma In Situ
C40198|Cervical Squamous Intraepithelial Neoplasia 2
C40199|Cervical Squamous Intraepithelial Neoplasia 1
C96945|Bile Duct Biliary Intraepithelial Neoplasia
C43606|Gallbladder Biliary Intraepithelial Neoplasia
C67491|Biliary Intraepithelial Neoplasia-1
C7347|Cervical Squamous Cell Carcinoma In Situ
C40198|Cervical Squamous Intraepithelial Neoplasia 2
C4520|Cervical Adenocarcinoma In Situ
C4000|Stage 0 Cervical Cancer
C4520|Cervical Adenocarcinoma In Situ
C4839|Esophageal Intraepithelial Neoplasia
C27424|Esophageal Glandular Intraepithelial Neoplasia
C27275|High Grade Anal Canal Squamous Intraepithelial Neoplasia
C27238|Low Grade Anal Canal Squamous Intraepithelial Neoplasia
C96942|Extrahepatic Bile Duct Biliary Intraepithelial Neoplasia
C43607|Gallbladder Flat Biliary Intraepithelial Neoplasia
C96943|Intrahepatic Bile Duct Biliary Intraepithelial Neoplasia
C43609|Gallbladder Papillary Biliary Intraepithelial Neoplasia
C3396|Superior Vena Cava Syndrome
C7679|Adenocarcinoma In Situ in Tubular Adenoma
C67492|Biliary Intraepithelial Neoplasia-2
C4144|Adenocarcinoma In Situ in Tubulovillous Adenoma
C8376|Adenocarcinoma In Situ in Villous Adenoma
C7679|Adenocarcinoma In Situ in Tubular Adenoma
C4144|Adenocarcinoma In Situ in Tubulovillous Adenoma
C8376|Adenocarcinoma In Situ in Villous Adenoma
C4195|Ductal Breast Carcinoma In Situ and Lobular Carcinoma In Situ
C67493|Biliary Intraepithelial Neoplasia-3
C39695|Extranodal Disease
C7698|Nicotine Withdrawal
C2924|Ductal Breast Carcinoma In Situ
C99258|Perinatal Drug Withdrawal
C98998|Opiate Withdrawal Syndrome
C133654|Pathologic Stage 0 Gastric Cancer AJCC v8
C4444|Stage 0 Ampulla of Vater Cancer
C133564|Pathologic Stage 0 Gastroesophageal Junction Adenocarcinoma AJCC v8
C42601|Extraocular Dissemination of Disease
C123572|CA125 50% Response
C123573|CA125 75% Response
C123574|Clinical Complete Response
C3522|Mammary Duct Ectasia
C120163|Pathological Gynecomastia
C120148|Pubertal Gynecomastia
C53662|Mastitis
C54658|Breast Nevus
C4647|Breast Lipoma
C9473|Lactating Adenoma
C40397|Breast Myofibroblastoma
C40356|Breast Large Cell Neuroendocrine Carcinoma
C6760|Breast Small Cell Carcinoma
C97965|Breast Solid Neuroendocrine Carcinoma
C45748|Ventricular Myxoma
C8536|Benign Pericardial Neoplasm
C7388|Vascular Neoplasm
C45747|Adult Cardiac Cellular Rhabdomyoma
C6947|Cardiac Fibroma
C49179|Conventional Cardiac Rhabdomyoma
C5349|Myocardial Neoplasm
C4569|Malignant Myocardial Neoplasm
C8536|Benign Pericardial Neoplasm
C6947|Cardiac Fibroma
C45758|Cardiac Monophasic Synovial Sarcoma
C4567|Malignant Pericardial Neoplasm
C45748|Ventricular Myxoma
C45757|Cardiac Biphasic Synovial Sarcoma
C45747|Adult Cardiac Cellular Rhabdomyoma
C49179|Conventional Cardiac Rhabdomyoma
C114926|Childhood Epithelioid Hemangioendothelioma
C4453|Lung Epithelioid Hemangioendothelioma
C96846|Liver Epithelioid Hemangioendothelioma
C9412|Angiosarcoma NCI Grade 3
C40379|Angiosarcoma of the Skin of the Arm after Radical Mastectomy followed by Lymphedema
C7433|AIDS-Related Cervical Kaposi Sarcoma
C5624|AIDS-Related Gastric Kaposi Sarcoma
C5349|Myocardial Neoplasm
C96510|Colorectal Kaposi Sarcoma
C121671|Angiosarcoma of Soft Tissue
C124495|Aorticopulmonary Septal Defect
C101029|Atrioventricular Septal Defect
C4578|Conjunctival Kaposi Sarcoma
C34585|Endomyocardial Fibrosis
C98597|Type III Total Anomalous Pulmonary Venous Return
C98592|Type II Total Anomalous Pulmonary Venous Return
C98598|Type IV Total Anomalous Pulmonary Venous Return
C35432|Acute Endocarditis
C128359|Bacterial Endocarditis
C128357|Early Prosthetic Valve Endocarditis
C99544|Left Ventricular Non-Compaction Syndrome
C99058|Shone Syndrome
C100062|Chronic Total Coronary Artery Occlusion
C78394|Cerebrovascular Ischemia
C99704|Arterial Dissection
C103266|Congenital Aortic Arch Hypoplasia
C95802|Ischemic Cerebrovascular Accident
C95803|Hemorrhagic Cerebrovascular Accident
C116715|Venous Stroke
C110938|Tachyarrhythmia
C35318|Arterial Occlusion
C38029|Tachycardia
C34398|Arteriosclerosis
C98848|Congenital Bundle of His Tachycardia
C35481|Atrial Tachycardia
C101197|Congenital Supraventricular Tachycardia
C99106|Vascular Ring
C99096|Dextro-Transposition of the Great Arteries
C101185|Dextro-Transposition of the Great Vessels with Intact Ventricular Septum
C101186|Dextro-Transposition of the Great Vessels with Ventricular Septal Defect
C34804|Malposition of Heart and Cardiac Apex
C98590|Type I Total Anomalous Pulmonary Venous Return
C101031|Complete Atrioventricular Canal Defect Unbalanced
C5396|Bone Epithelioid Hemangioma
C101030|Complete Atrioventricular Canal Defect Balanced
C5396|Bone Epithelioid Hemangioma
C7644|Adamantinoma
C3008|Enchondromatosis
C9312|Bone Sarcoma
C6620|Primary Lymphoma of Bone
C3008|Enchondromatosis
C6714|Sternal Chondromyxoid Fibroma
C2947|Chordoma
C2947|Chordoma
C6714|Sternal Chondromyxoid Fibroma
C6600|Mediastinal Rhabdomyoma
C6620|Primary Lymphoma of Bone
C7644|Adamantinoma
C6518|Intermediate Rhabdomyoma
C27480|Classic Rhabdomyoma
C9312|Bone Sarcoma
C6518|Intermediate Rhabdomyoma
C6600|Mediastinal Rhabdomyoma
C40266|Cervical Rhabdomyoma
C6372|Vaginal Rhabdomyoma
C27480|Classic Rhabdomyoma
C40266|Cervical Rhabdomyoma
C6372|Vaginal Rhabdomyoma
C6600|Mediastinal Rhabdomyoma
C6518|Intermediate Rhabdomyoma
C27480|Classic Rhabdomyoma
C40266|Cervical Rhabdomyoma
C6372|Vaginal Rhabdomyoma
C6178|Bladder Leiomyoma
C53964|Bone Leiomyoma
C40167|Uterine Corpus Bizarre Leiomyoma
C4484|Cutaneous Leiomyosarcoma
C7644|Adamantinoma
C3700|Epithelioid Leiomyosarcoma
C6620|Primary Lymphoma of Bone
C123932|Childhood Small Intestinal Leiomyosarcoma
C9312|Bone Sarcoma
C27369|Adult Pleomorphic Rhabdomyosarcoma
C27492|Conventional Alveolar Rhabdomyosarcoma
C36099|Adult Botryoid-Type Embryonal Rhabdomyosarcoma
C5860|Extrahepatic Bile Duct Rhabdomyosarcoma
C36099|Adult Botryoid-Type Embryonal Rhabdomyosarcoma
C7958|Childhood Alveolar Rhabdomyosarcoma
C27369|Adult Pleomorphic Rhabdomyosarcoma
C123732|Fusion-Negative Alveolar Rhabdomyosarcoma
C7958|Childhood Alveolar Rhabdomyosarcoma
C27492|Conventional Alveolar Rhabdomyosarcoma
C5396|Bone Epithelioid Hemangioma
C123732|Fusion-Negative Alveolar Rhabdomyosarcoma
C3008|Enchondromatosis
C5860|Extrahepatic Bile Duct Rhabdomyosarcoma
C6714|Sternal Chondromyxoid Fibroma
C2947|Chordoma
C34881|Congenital Deformity of Hip
C5396|Bone Epithelioid Hemangioma
C34404|Aseptic Necrosis of Head and Neck of Femur
C35226|Aseptic Necrosis of Head of Humerus
C35517|Avascular Necrosis of Humerus
C35513|Avascular Necrosis of Femur
C63924|Osteonecrosis of Jaw
C132080|Congenital Pseudarthrosis of Tibia
C3008|Enchondromatosis
C6714|Sternal Chondromyxoid Fibroma
C49077|Cutaneous Fibrous Histiocytoma, Histiocytic Variant
C3295|Osteochondroma
C4755|Chondrogenic Neoplasm
C7075|Fibroblastic Neoplasm
C8402|Fibrohistiocytic Neoplasm
C121842|Osteochondromyxoma
C121844|Subungual Exostosis
C48776|pT4d Stage Finding
C95925|N0 (mol+) Stage Finding
C95955|N1mi Stage Finding
C95936|N1bIII Stage Finding
C95935|N1bII Stage Finding
C48714|N3 Stage Finding
C95937|N1bIV Stage Finding
C96025|Ta Stage Finding
C48736|T4d Stage Finding
C98272|Bat Wing Pulmonary Opacities
C128568|Prostate Imaging Area
C98271|Bone-in-Bone Sign
C129575|EGFR Driver Mutation Negative
C129576|EML4/ALK Fusion Negative
C36292|Laboratory Test Result
C131487|FCER2 Negative
C48976|Breast Cancer pTis (LCIS) TNM Finding v6 and v7
C48977|Breast Cancer pTis Paget TNM Finding v6 and v7
C48975|Breast Cancer pTis (DCIS) TNM Finding v6 and v7
C48976|Breast Cancer pTis (LCIS) TNM Finding v6 and v7
C48975|Breast Cancer pTis (DCIS) TNM Finding v6 and v7
C48977|Breast Cancer pTis Paget TNM Finding v6 and v7
C3425|Tumor Lysis Syndrome
C88378|Cutaneous Melanoma TNM Finding v7
C3953|Esophageal Leukoplakia
C8390|Anal Leukoplakia
C4630|Low Grade Cervical Intraepithelial Neoplasia
C96942|Extrahepatic Bile Duct Biliary Intraepithelial Neoplasia
C3509|Genital Leukoplakia
C96943|Intrahepatic Bile Duct Biliary Intraepithelial Neoplasia
C43607|Gallbladder Flat Biliary Intraepithelial Neoplasia
C67492|Biliary Intraepithelial Neoplasia-2
C43609|Gallbladder Papillary Biliary Intraepithelial Neoplasia
C27424|Esophageal Glandular Intraepithelial Neoplasia
C36086|Flat Ductal Epithelial Atypia of the Breast
C89550|Stage 0 Cervical Cancer
C27425|Esophageal High Grade Intraepithelial Neoplasia
C4840|Esophageal Low Grade Intraepithelial Neoplasia
C95613|Intraepithelial Neoplasia in Barrett Esophagus
C27429|High Grade Esophageal Glandular Intraepithelial Neoplasia
C27428|Low Grade Esophageal Glandular Intraepithelial Neoplasia
C67493|Biliary Intraepithelial Neoplasia-3
C8301|Veno-Occlusive Disease
C3955|Gastric Intraepithelial Neoplasia
C91741|Middle Ear Carcinoma In Situ
C36156|Favorable Clinical Outcome
C3642|Grade III Prostatic Intraepithelial Neoplasia
C103170|Postnatal Drug Withdrawal
C66933|Ductal Breast Carcinoma In Situ, Solid Type
C4018|Lobular Breast Carcinoma In Situ
C9456|Intermediate Grade Ductal Breast Carcinoma In Situ
C7949|High Grade Ductal Breast Carcinoma In Situ
C99255|Neonatal Opiate Withdrawal Syndrome
C7794|Stage 0 Anal Canal Cancer
C4593|Stage 0 Appendix Carcinoma
C113680|Flare-up
C123576|Clinical Partial Response
C8932|Stage 0 Colorectal Cancer
C123619|Clinical Response
C123575|Complete Hematologic Response
C82970|Focal Mammary Duct Ectasia
C50674|Nipple Ulceration
C5170|Breast Carcinoid Tumor
C6977|Breast Papillomatosis
C40406|Breast Soft Tissue Neoplasm
C92187|Pericardial Adenomatoid Tumor
C6743|Pericardial Leiomyoma
C4651|Pericardial Neoplasm
C7389|Benign Vascular Neoplasm
C7387|Blood Vessel Neoplasm
C5354|Cutaneous Vascular Neoplasm
C45749|Cardiac Hemangioma
C4569|Malignant Myocardial Neoplasm
C6741|Cardiac Lipoma
C92187|Pericardial Adenomatoid Tumor
C6743|Pericardial Leiomyoma
C4889|Metastatic Malignant Neoplasm in the Heart
C45749|Cardiac Hemangioma
C4651|Pericardial Neoplasm
C7631|Pericardial Malignant Mesothelioma
C45762|Metastatic Malignant Neoplasm in the Pericardium
C6741|Cardiac Lipoma
C45695|Pleural Epithelioid Hemangioendothelioma
C6479|Bone Angiosarcoma
C128049|Cervical Angiosarcoma
C4579|Corneal Kaposi Sarcoma
C5516|Colon Kaposi Sarcoma
C5550|Rectal Kaposi Sarcoma
C48320|Adrenal Gland Angiosarcoma
C5376|Aortic Angiosarcoma
C101030|Complete Atrioventricular Canal Defect Balanced
C5184|Breast Angiosarcoma
C101031|Complete Atrioventricular Canal Defect Unbalanced
C98590|Type I Total Anomalous Pulmonary Venous Return
C27044|Eosinophilic Endomyocardial Disease
C35874|Endemic African Kaposi Sarcoma
C35201|Acute Rheumatic Endocarditis
C78265|Infective Endocarditis
C128358|Late Prosthetic Valve Endocarditis
C34804|Malposition of Heart and Cardiac Apex
C99060|Single Ventricle Defect
C35610|Diabetic Vascular Disorder
C99709|Significant Arterial Dissection
C50781|Transient Ischemic Attack
C35793|Femoropopliteal Occlusive Disease
C26924|Ventricular Arrhythmia
C93024|Hepatic Arterial Occlusion
